"a_o_creacion","mes_creacion","tipo_entidad","codigo_entidad","instancia_recepcion","motivo","producto","departamento","municipio","cantidad_quejas_recibidas"
"2026","3","1","7","Entidad vigilada","Inconsistencia en el cobro de gastos","Tarjetas de crédito","ANTIOQUIA","MEDELLÍN","14"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Creditos de consumo","ANTIOQUIA","MEDELLÍN","4"
"2026","3","1","39","Entidad vigilada","Inconsistencias en los pagos a terceros","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOGOTÁ, D.C.","BOGOTÁ, D.C.","4"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","ANTIOQUIA","MEDELLÍN","281"
"2026","3","5","31","Entidad vigilada","Información inoportuna","Negocios fiduciarios con entidades públicas","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","13","Superintendencia Financiera de Colombia","Inconformidad por bloqueo de productos","Cuenta de ahorro","SANTANDER","BUCARAMANGA","1"
"2026","3","23","9","Entidad vigilada","Recaudo de aportes - Demora o inconsistencias en el proceso de acreditación de aportes","Cesantías","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","43","Entidad vigilada","Dificultad o imposibilidad para realizar transacciones o consulta de información por el canal","Cuenta de ahorro","TOLIMA","ESPINAL","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CUNDINAMARCA","TOCANCIPÁ","1"
"2026","3","1","2","Superintendencia Financiera de Colombia","Demora o no aplicación del pago","Créditos de vivienda","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","MAGDALENA","CIÉNAGA","1"
"2026","3","1","39","Entidad vigilada","Otros motivos","Otros productos de Establecimientos de Crédito y SEDPE","BOYACÁ","PAIPA","1"
"2026","3","1","56","Entidad vigilada","Incumplimiento de los términos del contrato","Tarjetas de crédito","VALLE DEL CAUCA","TULUÁ","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","VALLE DEL CAUCA","TULUÁ","2"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Cuenta de ahorro","CASANARE","AGUAZUL","1"
"2026","3","1","39","Entidad vigilada","Transacción mal aplicada","Tarjetas de crédito","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CASANARE","YOPAL","3"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","HUILA","NEIVA","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","TOLIMA","MELGAR","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","SANTANDER","BUCARAMANGA","4"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","QUINDÍO","CALARCÁ","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","SANTANDER","BUCARAMANGA","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CAQUETÁ","FLORENCIA","1"
"2026","3","1","42","Superintendencia Financiera de Colombia","Transacción no reconocida","Tarjetas de crédito","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Inconformidades relacionadas con el proceso de cobranza","Créditos comerciales","ANTIOQUIA","MEDELLÍN","2"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ATLÁNTICO","SOLEDAD","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","LA GUAJIRA","MAICAO","1"
"2026","3","1","7","Entidad vigilada","Demora o no aplicación del pago","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","SANTANDER","BARRANCABERMEJA","3"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","ATLÁNTICO","BARRANQUILLA","6"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CÓRDOBA","MONTERÍA","3"
"2026","3","1","7","Entidad vigilada","Fallas en operaciones en moneda extranjera","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","HUILA","PITALITO","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ATLÁNTICO","SOLEDAD","1"
"2026","3","1","43","Entidad vigilada","Dificultad o imposibilidad para realizar transacciones o consulta de información por el canal","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Información incompleta y/o errada en la ejecución","Tarjetas de crédito","ANTIOQUIA","MEDELLÍN","3"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","SUCRE","SAN ONOFRE","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CESAR","LA JAGUA DE IBIRICO","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","LA GUAJIRA","SAN JUAN DEL CESAR","1"
"2026","3","128","6","Entidad vigilada","Error en la aplicación del pago","Depósitos ordinarios (Capítulo II del Título 15 del Decreto 2555 de 2010)","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","TOLIMA","IBAGUÉ","4"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","VALLE DEL CAUCA","CALI","26"
"2026","3","13","1","Entidad vigilada","Inconformidad con la definición, autorización, dictamen o diagnóstico","Seguro de hogar","VALLE DEL CAUCA","CALI","1"
"2026","3","1","7","Entidad vigilada","Falsificación de comprobantes y/o títulos valores (CDT, cheques, pagarés, comprobantes)","Cuenta corriente","ANTIOQUIA","MEDELLÍN","3"
"2026","3","1","30","Entidad vigilada","Cobro por operaciones fallidas en cajeros electrónicos","Cuenta de ahorro","CUNDINAMARCA","MOSQUERA","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","LA GUAJIRA","MAICAO","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","PUERTO NARE","1"
"2026","3","1","30","Entidad vigilada","Cobro por operaciones fallidas en cajeros electrónicos","Cuenta de ahorro","CÓRDOBA","MONTERÍA","1"
"2026","3","128","6","Entidad vigilada","Remesas","Otros productos de Fiduciarias","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","13","18","Entidad vigilada","Dificultad o imposibilidad para realizar transacciones o consulta de información por el canal","Seguro de cumplimiento","RISARALDA","PEREIRA","1"
"2026","3","128","3","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOGOTÁ, D.C.","BOGOTÁ, D.C.","6"
"2026","3","1","7","Superintendencia Financiera de Colombia","Información o asesoría incompleta y/o errada","Cuenta de ahorro","SANTANDER","FLORIDABLANCA","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","CALDAS","1"
"2026","3","128","3","Entidad vigilada","Dificultad o imposibilidad para realizar transacciones o consulta de información por el canal","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Revisión y/o liquidación de productos","Tarjetas de crédito","ANTIOQUIA","MEDELLÍN","37"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CESAR","CHIRIGUANÁ","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","ITAGÜÍ","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CHOCÓ","QUIBDÓ","1"
"2026","3","23","3","Superintendencia Financiera de Colombia","Retiro de aportes - Fallas o inconsistencia en el proceso de retiro de cesantías","Cesantías","VALLE DEL CAUCA","FLORIDA","1"
"2026","3","1","7","Entidad vigilada","No disponibilidad o fallas de los canales de atención","Cuenta de ahorro","ANTIOQUIA","MEDELLÍN","103"
"2026","3","1","43","Entidad vigilada","Transferencias no ejecutadas","Otros productos de Establecimientos de Crédito y SEDPE","CASANARE","AGUAZUL","1"
"2026","3","1","42","Superintendencia Financiera de Colombia","Transacción no reconocida","Tarjetas de crédito","ANTIOQUIA","BELLO","1"
"2026","3","1","56","Entidad vigilada","Incumplimiento de los términos del contrato","Tarjetas de crédito","BOGOTÁ, D.C.","BOGOTÁ, D.C.","6"
"2026","3","23","2","Superintendencia Financiera de Colombia","Pago de prestaciones - No pago, pago tardío o suspensión de la mesada pensional","Pensiones obligatorias - Vejez","BOGOTÁ, D.C.","BOGOTÁ, D.C.","2"
"2026","3","1","2","Entidad vigilada","Demora o no aplicación del pago","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","MEDELLÍN","3"
"2026","3","1","43","Entidad vigilada","Transferencias no ejecutadas","Otros productos de Establecimientos de Crédito y SEDPE","CESAR","VALLEDUPAR","3"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","RIONEGRO","1"
"2026","3","1","39","Entidad vigilada","Revisión y/o liquidación de productos","Tarjetas de crédito","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","13","Superintendencia Financiera de Colombia","Descuentos no autorizados para el pago de obligaciones","Cuenta de ahorro","CUNDINAMARCA","CAJICÁ","1"
"2026","3","1","39","Entidad vigilada","Otros motivos","Otros productos de Establecimientos de Crédito y SEDPE","BOYACÁ","TUNJA","1"
"2026","3","1","7","Entidad vigilada","Fallas o inoportunidad en el proceso de vinculación","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOGOTÁ, D.C.","BOGOTÁ, D.C.","4"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CASANARE","AGUAZUL","1"
