tipo_entidad,codigo_entidad,instancia_recepcion,producto,departamento,cantidad_quejas_recibidas,es_fraude
1,7,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,14,0
1,7,Entidad vigilada,Creditos de consumo,ANTIOQUIA,4,0
1,39,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",4,0
1,7,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,281,1
5,31,Entidad vigilada,Negocios fiduciarios con entidades públicas,ANTIOQUIA,1,0
1,13,Superintendencia Financiera de Colombia,Cuenta de ahorro,SANTANDER,1,0
23,9,Entidad vigilada,Cesantías,"BOGOTÁ, D.C.",1,0
1,43,Entidad vigilada,Cuenta de ahorro,TOLIMA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CUNDINAMARCA,1,0
1,2,Superintendencia Financiera de Colombia,Créditos de vivienda,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),MAGDALENA,1,0
1,39,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,BOYACÁ,1,0
1,56,Entidad vigilada,Tarjetas de crédito,VALLE DEL CAUCA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),VALLE DEL CAUCA,2,0
1,7,Entidad vigilada,Cuenta de ahorro,CASANARE,1,0
1,39,Entidad vigilada,Tarjetas de crédito,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CASANARE,3,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),HUILA,1,0
1,39,Entidad vigilada,Tarjetas de crédito,TOLIMA,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),SANTANDER,4,1
1,39,Entidad vigilada,Cuenta de ahorro,QUINDÍO,1,1
1,39,Entidad vigilada,Cuenta de ahorro,SANTANDER,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CAQUETÁ,1,0
1,42,Superintendencia Financiera de Colombia,Tarjetas de crédito,"BOGOTÁ, D.C.",1,1
1,7,Entidad vigilada,Créditos comerciales,ANTIOQUIA,2,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ATLÁNTICO,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),LA GUAJIRA,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),SANTANDER,3,0
1,39,Entidad vigilada,Tarjetas de crédito,ATLÁNTICO,6,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CÓRDOBA,3,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),HUILA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ATLÁNTICO,1,0
1,43,Entidad vigilada,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,3,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),SUCRE,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CESAR,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),LA GUAJIRA,1,0
128,6,Entidad vigilada,Depósitos ordinarios (Capítulo II del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),TOLIMA,4,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),VALLE DEL CAUCA,26,0
13,1,Entidad vigilada,Seguro de hogar,VALLE DEL CAUCA,1,0
1,7,Entidad vigilada,Cuenta corriente,ANTIOQUIA,3,0
1,30,Entidad vigilada,Cuenta de ahorro,CUNDINAMARCA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),LA GUAJIRA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,30,Entidad vigilada,Cuenta de ahorro,CÓRDOBA,1,0
128,6,Entidad vigilada,Otros productos de Fiduciarias,"BOGOTÁ, D.C.",1,0
13,18,Entidad vigilada,Seguro de cumplimiento,RISARALDA,1,0
128,3,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",6,1
1,7,Superintendencia Financiera de Colombia,Cuenta de ahorro,SANTANDER,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,1
128,3,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,37,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CESAR,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CHOCÓ,1,0
23,3,Superintendencia Financiera de Colombia,Cesantías,VALLE DEL CAUCA,1,0
1,7,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,103,0
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,CASANARE,1,0
1,42,Superintendencia Financiera de Colombia,Tarjetas de crédito,ANTIOQUIA,1,1
1,56,Entidad vigilada,Tarjetas de crédito,"BOGOTÁ, D.C.",6,0
23,2,Superintendencia Financiera de Colombia,Pensiones obligatorias - Vejez,"BOGOTÁ, D.C.",2,0
1,2,Entidad vigilada,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,3,0
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,CESAR,3,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,1
1,39,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,1,0
1,13,Superintendencia Financiera de Colombia,Cuenta de ahorro,CUNDINAMARCA,1,0
1,39,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,BOYACÁ,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",4,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CASANARE,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),VALLE DEL CAUCA,4,0
1,1,Superintendencia Financiera de Colombia,Cuenta de ahorro,META,1,1
1,39,Entidad vigilada,Tarjetas de crédito,"BOGOTÁ, D.C.",43,1
1,43,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,2,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),SANTANDER,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",35,1
